# boot Thu 10 Sep 16:31:23 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
19.16 0 0 0
20.19 0 0 0
21.20 0 0 0
22.21 0 0 0
23.21 0 0 0
24.22 0 0 0
25.23 0 0 0
26.23 0 0 0
27.24 12 5 199
28.25 5 4 57
29.26 11 5 207
30.26 43 22 25711
31.27 67 34 41004
32.28 85 39 49715
33.28 78 42 43351
34.29 68 34 41436
35.31 85 42 52020
36.32 68 34 41616
37.35 84 43 51408
38.37 68 34 41616
39.38 85 42 52020
40.38 68 34 41616
41.39 85 42 52020
42.40 68 34 41616
43.40 68 34 41616
44.41 84 43 51408
45.41 68 34 41616
46.42 85 42 52020
47.43 67 34 41004
48.43 86 42 52632
49.44 67 34 41004
50.45 85 43 52020
51.45 67 33 41004
52.46 86 42 52632
53.47 67 34 41004
54.47 68 34 41616
55.48 84 43 51408
56.49 69 33 42228
57.49 84 43 51408
58.50 68 34 41616
59.50 85 42 52020
60.51 73 37 44676
61.52 79 40 48348
62.53 69 33 42228
63.53 84 43 51408
64.54 69 33 42228
65.55 66 35 40392
66.55 86 42 52632
67.56 67 34 41004
68.57 85 43 52020
69.58 68 33 41616
70.59 84 43 51408
71.60 69 33 42228
72.60 85 42 52020
73.61 68 34 41616
74.61 84 43 51408
75.62 68 34 41616
76.63 68 34 41616
77.64 84 43 51408
78.65 69 33 42228
79.65 84 43 51408
80.66 67 34 41004
81.67 85 42 52020
82.67 68 34 41616
83.68 85 42 52020
84.69 68 34 41616
85.69 85 42 52020
86.70 68 34 41616
87.71 67 35 41004
88.72 85 42 52020
89.73 68 33 41616
90.73 84 43 51408
91.74 68 34 41616
92.75 86 42 52632
93.75 67 34 41004
94.76 84 43 51408
95.77 69 33 42228
96.78 84 43 51408
97.79 68 34 41616
98.80 85 42 52020
99.81 68 34 41616
100.81 67 34 41004
101.82 85 43 52020
102.83 69 33 42228
103.83 84 43 51408
104.84 68 34 41616
105.85 85 42 52020
106.86 67 34 41004
107.87 85 42 52020
108.88 68 34 41616
109.88 85 42 52020
110.89 67 35 41004
111.89 68 34 41616
112.90 85 42 52020
113.91 68 34 41616
114.92 85 42 52020
115.93 68 34 41616
116.94 84 28 51408
117.94 68 0 41616
118.95 86 0 52632
119.95 67 0 41004
120.96 84 0 51408
121.97 68 0 41616
122.97 69 0 42228
123.99 84 0 51408
124.99 68 0 41616
126.00 85 0 52020
127.01 68 0 41616
128.02 84 0 51408
129.02 68 0 41616
130.03 85 0 52020
131.03 67 0 41004
132.04 86 0 52632
133.05 67 0 41004
134.06 85 0 52020
135.07 68 0 41616
136.08 68 0 41616
137.09 84 0 51408
138.10 68 0 41616
139.11 85 0 52020
140.11 68 0 41616
141.12 85 0 52020
142.13 68 0 41616
143.14 84 0 51408
144.15 68 0 41616
145.16 84 0 51408
146.16 68 0 41616
147.17 68 0 41616
148.17 85 0 52020
149.18 68 0 41616
150.19 84 0 51408
151.19 68 0 41616
152.20 85 0 52020
153.21 68 0 41616
154.21 85 0 52020
155.22 67 0 41004
156.22 85 0 52020
157.23 68 0 41616
158.24 84 0 51408
159.25 68 0 41616
160.26 69 0 42228
161.26 84 0 51408
162.27 68 0 41616
163.28 85 0 52020
164.28 68 0 41616
165.29 85 0 52020
166.30 68 0 41616
167.31 84 0 51408
168.32 67 0 41004
169.33 86 0 52632
170.34 68 0 41616
171.35 67 0 41004
172.35 91 0 55692
173.36 62 0 37944
174.36 85 0 52020
175.37 68 0 41616
176.38 84 0 51408
177.38 68 0 41616
178.39 85 0 52020
179.40 68 0 41616
180.41 85 0 52020
181.42 68 0 41616
182.43 84 0 51408
183.44 68 0 41616
184.44 68 0 41616
185.45 84 0 51408
186.45 68 0 41616
187.46 85 0 52020
188.47 68 0 41616
189.48 84 0 51408
190.49 69 0 42228
191.50 85 0 52020
192.50 66 0 40392
193.51 86 0 52632
194.51 67 0 41004
195.52 68 0 41616
196.53 86 0 52632
197.53 67 0 41004
198.54 63 0 38556
