# boot Thu 10 Sep 13:57:26 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
19.79 0 1 0
20.84 0 0 0
21.85 0 0 0
22.86 0 0 0
23.86 0 0 0
24.87 0 0 0
25.88 0 0 0
26.88 12 5 199
27.89 0 0 0
28.89 5 4 57
29.90 11 5 207
30.90 44 21 26323
31.92 69 33 42228
32.92 76 41 41792
33.93 69 34 42228
34.94 85 43 52020
35.94 67 34 41004
36.95 86 42 52632
37.96 54 24 33048
38.96 82 45 49244
39.97 69 33 41288
40.99 85 43 51690
42.02 68 34 41616
43.03 84 43 51408
44.04 69 34 42228
45.05 85 42 52020
46.06 69 34 42228
47.06 84 43 51408
48.07 71 32 43312
49.08 51 26 30152
50.08 67 35 41483
51.09 50 26 31834
52.10 0 0 0
53.11 9 6 3278
54.11 0 0 0
55.12 0 0 0
56.13 0 0 0
57.13 0 0 0
58.14 0 0 0
59.15 0 0 0
60.15 0 0 0
61.16 0 0 0
62.17 0 0 0
63.18 0 0 0
64.19 0 0 0
65.19 0 0 0
66.20 0 0 0
67.21 0 0 0
68.21 0 0 0
69.22 0 0 0
70.22 0 0 0
71.23 0 0 0
72.24 0 0 0
73.24 0 0 0
74.25 0 0 0
75.26 0 0 0
76.26 0 0 0
77.27 0 0 0
78.27 0 0 0
79.28 0 0 0
80.29 0 0 0
81.29 0 0 0
82.30 0 0 0
83.31 0 0 0
84.32 0 0 0
85.32 0 0 0
86.33 0 0 0
87.33 0 0 0
88.34 16 7 245
89.35 76 37 28210
90.35 78 41 47146
91.36 84 41 50808
92.38 68 34 41616
93.39 85 42 52020
94.39 68 34 41616
95.40 84 43 51408
96.40 68 34 41616
97.41 68 34 41616
98.42 85 42 52020
99.43 68 34 41616
100.44 85 42 52020
101.45 68 34 41616
102.45 84 43 51408
103.46 68 34 41616
104.47 85 42 52020
105.48 68 34 41616
106.49 85 42 52020
107.50 68 34 41616
108.51 84 43 51408
109.52 68 34 41616
110.53 85 42 52020
111.54 68 34 41616
112.55 68 34 41616
113.56 85 42 52020
114.56 67 34 41004
115.57 84 43 51408
116.58 68 34 41616
117.58 85 42 52020
118.59 68 34 41616
119.59 85 42 52020
120.60 68 34 41616
121.61 68 34 41616
122.61 85 42 52020
123.62 67 35 41004
124.62 86 41 52632
125.63 67 35 41004
126.64 85 42 52020
127.65 68 34 41616
128.66 85 42 52020
129.67 67 35 41004
130.68 86 41 52632
131.69 67 35 41004
132.70 75 37 45900
133.71 78 39 47736
134.71 67 34 41004
135.72 85 43 52020
136.73 68 34 41616
137.73 85 42 52020
138.74 68 34 41616
139.75 85 42 52020
140.76 68 34 41616
141.76 84 43 51408
142.77 68 33 41616
143.78 85 43 52020
144.79 69 33 42228
145.80 66 35 40392
146.81 85 42 52020
147.82 68 34 41616
148.83 85 42 52020
149.84 68 34 41616
150.85 85 42 52020
151.86 67 35 41004
152.87 85 42 52020
153.88 68 34 41616
154.88 85 16 52020
155.89 68 0 41616
156.89 84 0 51408
157.90 68 0 41616
158.91 69 0 42228
159.92 84 0 51408
160.93 68 0 41616
161.93 85 0 52020
162.94 68 0 41616
163.95 84 0 51408
164.96 69 0 42228
165.97 85 0 52020
166.98 66 0 40392
167.99 86 0 52632
169.00 68 0 41616
170.01 84 0 51408
171.02 69 0 42228
172.03 67 0 41004
173.04 85 0 52020
174.04 67 0 41004
175.05 86 0 52632
176.06 67 0 41004
177.06 86 0 52632
178.07 67 0 41004
179.07 85 0 52020
180.08 68 0 41616
181.09 84 0 51408
182.10 68 0 41616
183.11 68 0 41616
184.12 85 0 52020
185.13 68 0 41616
186.14 85 0 52020
187.15 68 0 41616
188.16 84 0 51408
189.16 68 0 41616
190.17 85 0 52020
191.18 68 0 41616
192.18 85 0 52020
193.19 67 0 41004
194.19 68 0 41616
195.20 85 0 52020
196.21 68 0 41616
197.21 85 0 52020
198.22 67 0 41004
199.23 58 0 35496
