# boot Thu 10 Sep 14:19:34 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
18.83 0 0 0
19.85 0 1 0
20.87 0 0 0
21.88 0 0 0
22.88 12 5 199
23.89 0 0 0
24.89 15 9 242
25.90 0 0 0
26.91 29 11 16553
27.91 80 41 47181
28.92 80 43 46019
29.93 68 34 41616
30.94 85 42 52020
31.94 68 34 41616
32.95 85 42 52020
33.96 68 34 41616
34.96 85 42 52020
35.99 67 35 41004
37.00 85 42 52020
38.01 68 34 41616
39.04 85 42 52020
40.04 68 34 41616
41.05 68 34 41616
42.06 84 43 51408
43.06 69 33 42228
44.07 84 43 51408
45.08 68 34 41616
46.09 85 42 52020
47.09 67 34 41004
48.15 86 42 52632
49.16 67 34 41004
50.16 84 43 51408
51.17 69 34 42228
52.18 85 42 52020
53.18 67 34 41004
54.19 86 42 52632
55.19 67 34 41004
56.20 68 34 41616
57.21 85 42 52020
58.21 68 34 41616
59.22 84 43 51408
60.22 69 33 42228
61.23 84 43 51408
62.24 68 34 41616
63.25 84 43 51408
64.26 68 34 41616
65.27 85 42 52020
66.28 68 34 41616
67.28 69 33 42228
68.29 84 43 51408
69.30 68 34 41616
70.31 84 43 51408
71.32 68 34 41616
72.33 85 42 52020
73.34 67 34 41004
74.35 86 42 52632
75.36 68 34 41616
76.36 85 42 52020
77.37 68 34 41616
78.38 84 43 51408
79.39 68 34 41616
80.40 85 42 52020
81.41 67 34 41004
82.42 69 34 42228
83.43 85 42 52020
84.44 67 34 41004
85.44 85 43 52020
86.45 68 33 41616
87.45 84 43 51408
88.46 69 33 42228
89.47 84 43 51408
90.48 68 34 41616
91.48 68 34 41616
92.49 85 42 52020
93.50 68 34 41616
94.51 84 43 51408
95.52 68 34 41616
96.53 85 42 52020
97.54 68 34 41616
98.55 84 43 51408
99.56 68 34 41616
100.57 85 42 52020
101.57 68 34 41616
102.58 85 42 52020
103.59 68 34 41616
104.60 84 43 51408
105.61 68 34 41616
106.62 68 33 41616
107.62 85 43 52020
108.63 68 34 41616
109.63 85 42 52020
110.64 67 34 41004
111.65 86 42 52632
112.66 67 34 41004
113.67 85 29 52020
114.68 68 0 41616
115.69 84 0 51408
116.70 68 0 41616
117.70 68 0 41616
118.71 85 0 52020
119.71 68 0 41616
120.72 84 0 51408
121.73 69 0 42228
122.73 84 0 51408
123.74 68 0 41616
124.75 85 0 52020
125.75 68 0 41616
126.76 68 0 41616
127.77 85 0 52020
128.78 68 0 41616
129.79 84 0 51408
130.80 68 0 41616
131.81 85 0 52020
132.82 68 0 41616
133.83 84 0 51408
134.84 69 0 42228
135.84 84 0 51408
136.85 68 0 41616
137.86 85 0 52020
138.87 68 0 41616
139.87 68 0 41616
140.88 85 0 52020
141.88 67 0 41004
142.89 84 0 51408
143.90 68 0 41616
144.91 85 0 52020
145.92 68 0 41616
146.93 85 0 52020
147.94 68 0 41616
148.94 85 0 52020
149.95 67 0 41004
150.96 68 0 41616
151.96 85 0 52020
152.97 68 0 41616
153.97 85 0 52020
154.98 68 0 41616
155.99 85 0 52020
156.99 67 0 41004
158.00 85 0 52020
159.00 68 0 41616
160.01 85 0 52020
161.02 68 0 41616
162.02 68 0 41616
163.03 84 0 51408
164.03 68 0 41616
165.04 85 0 52020
166.05 67 0 41004
167.06 86 0 52632
168.07 67 0 41004
169.08 85 0 52020
170.08 68 0 41616
171.09 85 0 52020
172.09 68 0 41616
173.10 68 0 41616
174.11 84 0 51408
175.12 68 0 41616
176.13 85 0 52020
177.14 68 0 41616
178.15 84 0 51408
179.16 69 0 42228
180.16 84 0 51408
181.17 68 0 41616
182.18 85 0 52020
183.18 68 0 41616
184.19 68 0 41616
185.20 85 0 52020
186.20 68 0 41616
187.21 84 0 51408
188.21 68 0 41616
189.22 85 0 52020
190.23 68 0 41616
191.24 85 0 52020
192.24 67 0 41004
193.25 85 0 52020
194.26 68 0 41616
195.27 68 0 41616
196.28 84 0 51408
197.29 68 0 41616
198.30 58 0 35496
