# boot Thu 10 Sep 16:11:42 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
19.18 0 1 0
20.24 0 0 0
21.25 6 2 85
22.25 3 3 44
23.26 0 0 0
24.26 0 0 0
25.27 0 0 0
26.28 0 0 0
27.28 0 0 0
28.29 6 3 79
29.32 0 0 0
30.33 0 0 0
31.33 0 0 0
32.34 38 19 779
33.34 0 0 0
34.35 46 22 25783
35.36 83 42 50196
36.38 85 43 52020
37.44 68 34 41616
38.47 86 40 52632
39.52 68 34 41616
40.52 67 35 39404
41.53 69 33 39658
42.54 83 44 48556
43.54 67 34 39814
44.55 86 42 52022
45.56 67 34 41004
46.57 85 42 52020
47.57 66 34 40392
48.58 86 42 52632
49.58 67 34 41004
50.59 68 34 41616
51.60 86 42 52632
52.61 67 34 41004
53.61 84 43 51408
54.62 54 23 32868
55.62 67 35 39106
56.63 62 31 39706
57.64 57 27 34827
58.64 48 27 29328
59.65 68 34 42232
60.66 68 34 43096
61.67 68 34 43972
62.67 51 25 33609
63.68 67 35 44825
64.69 69 33 40260
65.70 84 43 48728
66.71 67 33 39584
67.72 85 42 50990
68.72 53 24 32276
69.73 34 17 19708
70.73 50 26 32215
71.74 68 34 43684
72.75 51 25 31845
73.76 65 36 39163
74.77 52 25 31856
75.77 66 34 41238
76.78 69 33 43995
77.79 50 26 32362
78.79 68 34 44872
79.80 68 34 44737
80.81 69 33 39488
81.81 84 43 48978
82.82 67 34 39664
83.83 71 32 42732
84.84 54 27 32368
85.85 64 32 41283
86.85 50 26 31438
87.86 34 17 21815
88.87 66 35 42464
89.87 50 26 32770
90.88 52 25 34493
91.89 67 34 39401
92.90 52 25 31148
93.91 68 34 41476
94.91 66 34 41094
95.92 68 34 43228
96.93 51 25 32997
97.93 68 34 44716
98.94 68 34 45364
99.95 36 15 23076
100.96 50 26 30475
101.97 67 35 43379
102.98 69 33 40779
103.99 65 35 39223
104.99 51 25 31293
106.00 68 34 42544
107.00 68 34 43408
108.01 51 25 33069
109.02 68 34 44932
110.02 68 34 44143
111.03 84 43 48268
112.04 68 34 39706
113.05 84 42 49938
114.06 53 24 31526
115.06 68 34 42441
116.07 51 25 32997
117.07 51 25 33141
118.08 51 26 31377
119.09 66 35 41082
120.09 50 26 31738
121.10 68 34 43816
122.10 67 34 44021
123.11 68 34 45532
124.12 68 33 39292
125.13 84 43 48768
126.13 69 33 40798
127.14 68 34 40816
128.15 84 43 51198
129.16 53 24 32416
130.17 51 25 29872
131.18 51 26 32553
132.19 65 35 40123
133.20 53 19 32707
134.20 66 0 39738
135.21 68 0 41800
136.21 68 0 42664
137.22 51 0 32529
138.23 68 0 44188
139.24 68 0 45064
140.25 67 0 42581
141.26 67 0 38464
142.27 86 0 50282
143.27 67 0 39804
144.28 53 0 31524
145.28 68 0 45628
146.29 51 0 33309
147.30 67 0 41933
148.31 50 0 31774
149.32 68 0 44068
150.33 67 0 44261
151.33 67 0 43769
152.34 68 0 38936
153.35 85 0 49590
154.35 68 0 40286
155.36 68 0 40936
156.36 85 0 51970
157.37 68 0 41616
158.38 86 0 52632
159.39 54 0 32608
160.40 48 0 27896
161.41 67 0 43091
162.41 52 0 33344
163.42 65 0 39583
164.42 68 0 41296
165.43 51 0 31569
166.44 68 0 42820
167.45 68 0 43684
168.45 51 0 33345
169.46 67 0 44537
170.47 68 0 41965
171.48 85 0 49070
172.48 68 0 39936
173.49 85 0 50770
174.49 36 0 21252
175.50 66 0 42723
176.51 50 0 31174
177.51 70 0 44558
178.52 49 0 31715
179.52 67 0 44201
180.53 68 0 44836
181.54 67 0 38324
182.55 86 0 50112
183.55 68 0 40256
184.56 84 0 50628
185.57 68 0 41616
186.58 85 0 52020
187.59 67 0 41004
188.60 84 0 51408
189.60 68 0 41616
190.61 68 0 41616
191.61 85 0 52020
192.62 68 0 41616
193.63 84 0 51408
194.64 68 0 41616
195.64 85 0 52020
196.65 70 0 42840
197.66 81 0 49572
198.66 51 0 31212
