# boot Thu 10 Sep 16:58:53 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
19.41 0 0 0
20.44 0 1 0
21.45 0 0 0
22.47 0 0 0
23.48 0 0 0
24.49 0 0 0
25.49 0 0 0
26.50 2 0 26
27.51 10 5 173
28.52 5 4 57
29.52 10 5 185
30.53 76 36 44717
31.54 52 25 30384
32.54 76 41 43248
33.55 68 33 45532
34.56 67 35 38720
35.56 69 34 40018
36.57 102 51 60204
37.75 68 34 40936
38.76 85 40 51970
39.76 34 17 20788
40.78 51 25 30462
41.80 66 36 43746
42.81 53 24 34573
43.81 65 36 40573
44.82 69 33 46023
45.83 68 34 40678
46.83 68 34 39316
47.84 85 43 49970
48.85 65 33 38870
49.85 86 42 52252
50.86 68 34 41616
51.86 86 42 52632
52.87 66 35 40392
53.88 69 33 42228
54.88 104 50 62245
56.99 68 34 42412
58.00 66 36 40842
59.00 49 24 30863
60.01 68 34 43564
61.01 68 34 44428
62.02 67 34 44621
63.03 68 34 41272
64.03 69 34 39828
65.04 84 43 49318
66.04 68 34 40606
67.05 85 43 51600
68.06 69 34 42228
69.07 51 22 30952
70.08 50 26 30473
71.09 51 25 33177
72.09 51 26 32601
73.10 68 34 42316
74.11 66 35 39870
75.11 51 26 31353
76.12 68 34 42604
77.13 69 34 44115
78.13 51 25 33141
79.14 65 33 42991
80.15 80 40 50809
81.16 73 36 42016
82.17 67 35 39154
83.18 68 34 40336
84.18 71 32 42378
85.19 51 26 33621
86.20 67 35 43709
87.20 69 33 45891
88.21 52 25 34148
89.22 66 36 43242
90.23 50 25 33334
91.24 85 43 51788
92.24 68 34 39336
93.25 68 34 39936
94.26 85 43 50760
95.26 69 33 41898
96.27 85 43 52020
97.28 68 34 41616
98.29 86 42 52632
99.30 52 24 31024
100.30 68 35 39505
101.31 51 25 33669
102.31 85 43 54461
103.32 51 25 32478
104.33 66 36 44046
105.33 68 34 40678
106.34 86 42 49782
107.35 68 34 40086
108.36 84 43 50308
109.37 69 34 42038
110.38 67 34 41004
111.38 85 43 52020
112.39 69 34 42228
113.39 87 41 53244
114.40 51 25 30492
115.41 51 26 30129
116.42 52 25 33116
117.43 49 27 29123
118.44 67 34 42478
119.45 51 26 33984
120.45 68 34 40726
121.46 51 25 30477
122.46 69 34 41943
123.47 68 34 42208
124.48 50 26 31642
125.49 68 34 43720
126.50 69 34 45243
127.50 50 25 33382
128.51 70 7 42812
129.52 52 0 33551
130.52 68 0 41812
131.53 49 0 29603
132.54 70 0 41330
133.55 67 0 40409
134.55 50 0 30658
135.56 68 0 42532
136.57 67 0 42749
137.58 51 0 33045
138.58 68 0 44908
139.59 68 0 44440
140.60 70 0 40100
141.60 84 0 49018
142.61 69 0 40898
143.62 69 0 41318
144.62 68 0 39576
145.63 69 0 43718
146.64 50 0 30580
147.65 69 0 45471
148.66 49 0 31715
149.67 68 0 43564
150.68 68 0 44428
151.69 51 0 33885
152.69 68 0 42955
153.70 84 0 48398
154.71 75 0 43980
155.72 78 0 46516
156.72 69 0 41808
157.73 84 0 51408
158.74 54 0 33048
159.75 51 0 30532
160.76 51 0 32145
161.77 52 0 33020
162.77 50 0 30433
163.79 49 0 32088
164.79 68 0 44047
165.80 51 0 29985
166.81 68 0 40828
167.82 69 0 42315
168.82 50 0 31150
169.83 68 0 43204
170.83 69 0 44751
171.84 51 0 33609
172.85 67 0 44909
173.86 70 0 40139
174.86 52 0 33155
175.87 34 0 21518
176.87 51 0 30345
177.88 68 0 44752
178.89 49 0 31752
179.90 51 0 33088
180.91 52 0 34414
181.92 68 0 41941
182.93 67 0 39881
183.94 51 0 30945
184.94 68 0 41992
185.95 68 0 42856
186.95 51 0 32733
187.96 69 0 45051
188.97 67 0 44597
189.98 68 0 41569
190.98 69 0 39798
191.99 89 0 52258
193.00 64 0 38218
194.00 85 0 51590
195.01 68 0 41616
196.02 86 0 52632
197.02 68 0 41616
198.03 85 0 52020
199.04 31 0 18972
