# boot Thu 10 Sep 17:20:25 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
17.96 0 0 0
19.10 0 0 0
20.11 0 0 0
21.11 0 0 0
22.21 0 0 0
23.22 0 0 0
24.23 21 10 542
25.23 13 7 234
26.24 6 3 118
27.24 57 28 25662
28.25 72 37 40821
29.25 51 25 31762
30.26 80 39 49554
31.27 50 26 31750
32.28 68 34 43180
33.29 67 34 42545
34.30 52 25 33020
35.31 67 34 42545
36.32 67 34 42545
37.34 68 34 43180
38.38 68 34 43180
39.41 51 25 32385
40.42 68 34 43180
41.42 68 34 43180
42.43 51 25 32385
43.43 68 34 43180
44.44 70 36 44450
45.45 66 31 41910
46.45 50 26 31750
47.47 67 34 42545
48.47 68 34 43180
49.48 51 26 32385
50.49 68 33 43180
51.49 68 34 43180
52.50 68 34 43180
53.51 51 25 32385
54.52 66 34 41910
55.52 68 34 43180
56.53 51 26 32385
57.53 68 33 43180
58.54 68 34 43180
59.55 68 34 43180
60.55 51 25 32385
61.56 67 35 42545
62.57 69 33 43815
63.58 66 34 41910
64.59 51 26 32385
65.59 68 33 43180
66.60 68 34 43180
67.61 50 26 31750
68.61 68 34 43180
69.62 69 33 43815
70.63 50 26 31750
71.64 68 34 43180
72.64 68 34 43180
73.65 68 33 43180
74.65 50 26 31750
75.66 68 34 43180
76.67 67 34 42545
77.68 52 25 33020
78.69 67 34 42545
79.69 68 34 43180
80.70 68 34 43180
81.71 51 25 32385
82.72 67 34 42545
83.73 68 34 43180
84.74 68 34 43180
85.74 51 25 32385
86.75 68 34 43180
87.75 67 34 42545
88.76 51 26 32385
89.77 69 33 43815
90.78 67 34 42545
91.78 67 34 42545
92.79 51 25 32385
93.79 68 34 43180
94.80 68 34 43180
95.81 50 26 31750
96.82 69 33 43815
97.82 67 35 42545
98.83 68 34 43180
99.84 51 25 32385
100.85 73 36 46355
101.86 62 31 39370
102.87 51 26 32385
103.88 67 34 42545
104.88 68 34 43180
105.89 68 34 43180
106.89 51 25 32385
107.90 68 34 43180
108.91 68 34 43180
109.92 51 25 32385
110.93 67 34 42545
111.93 68 34 43180
112.94 67 34 42545
113.95 52 25 33020
114.95 68 34 43180
115.96 67 34 42545
116.97 51 26 32385
117.97 68 33 43180
118.98 68 34 43180
119.99 67 34 42545
121.00 51 25 32385
122.01 68 34 43180
123.01 68 34 43180
124.02 50 26 31750
125.02 68 34 43180
126.03 68 33 43180
127.04 68 34 43180
128.05 50 26 31750
129.06 68 33 43180
130.06 67 23 42545
131.07 52 0 33020
132.07 68 0 43180
133.08 67 0 42545
134.09 68 0 43180
135.10 50 0 31750
136.10 68 0 43180
137.11 68 0 43180
138.12 67 0 42545
139.13 51 0 32385
140.14 69 0 43815
141.14 67 0 42545
142.15 51 0 32385
143.16 67 0 42545
144.16 68 0 43180
145.17 52 0 33020
146.18 67 0 42545
147.19 68 0 43180
148.19 67 0 42545
149.20 51 0 32385
150.21 68 0 43180
151.21 68 0 43180
152.22 51 0 32385
153.22 68 0 43180
154.23 67 0 42545
155.24 68 0 43180
156.25 51 0 32385
157.26 67 0 42545
158.27 68 0 43180
159.27 68 0 43180
160.28 51 0 32385
161.28 68 0 43180
162.29 67 0 42545
163.30 52 0 33020
164.31 67 0 42545
165.32 68 0 43180
166.32 67 0 42545
167.33 51 0 32385
168.34 68 0 43180
169.35 68 0 43180
170.35 51 0 32385
171.36 67 0 42545
172.37 69 0 43815
173.37 67 0 42545
174.38 51 0 32385
175.39 68 0 43180
176.40 67 0 42545
177.40 68 0 43180
178.41 51 0 32385
179.42 67 0 42545
180.42 69 0 43815
181.43 50 0 31750
182.43 68 0 43180
183.44 67 0 42545
184.45 52 0 33020
185.46 66 0 41910
186.47 68 0 43180
187.47 68 0 43180
188.48 52 0 33020
189.49 67 0 42545
190.49 67 0 42545
191.50 68 0 43180
192.51 51 0 32385
193.52 68 0 43180
194.53 67 0 42545
195.54 51 0 32385
196.54 68 0 43180
197.55 68 0 43180
198.55 13 0 8255
