# boot Thu 10 Sep 17:28:22 EDT 2026 -- hci capture, 180s window
# mono acl_tx completed bytes
19.60 0 0 0
21.48 0 0 0
22.49 4 1 56
23.49 32 16 771
24.50 0 0 0
25.51 12 6 177
26.51 21 11 7772
27.52 72 37 40821
28.53 67 33 41922
29.53 67 34 42545
30.54 68 34 43180
31.54 51 25 32385
32.55 68 34 43180
33.55 68 34 43180
34.56 50 26 31750
35.57 69 33 43815
36.58 67 35 42545
37.58 68 33 43180
38.59 53 27 33655
39.60 65 32 41275
40.61 68 34 43180
41.66 67 34 42545
42.68 52 25 33020
43.71 67 35 42545
44.72 68 33 43180
45.72 68 34 43180
46.73 51 26 32385
47.73 67 34 42545
48.74 67 33 42545
49.75 51 25 32385
50.75 68 34 43180
51.76 68 34 43180
52.78 68 34 43180
53.79 50 26 31750
54.80 68 34 43180
55.81 68 33 43180
56.81 68 34 43180
57.82 51 26 32385
58.83 66 33 41910
59.83 68 34 43180
60.84 68 34 43180
61.85 51 25 32385
62.86 68 34 43180
63.87 68 34 43180
64.88 50 26 31750
65.89 69 33 43815
66.89 67 35 42545
67.90 67 33 42545
68.91 51 25 32385
69.92 67 34 42545
70.92 68 34 43180
71.93 51 26 32385
72.93 68 33 43180
73.94 68 34 43180
74.95 68 34 43180
75.96 50 26 31750
76.97 67 33 42545
77.98 68 34 43180
78.98 51 25 32385
79.99 68 34 43180
80.99 68 34 43180
82.00 67 34 42545
83.01 52 25 33020
84.02 67 35 42545
85.03 68 33 43180
86.03 50 25 31750
87.04 68 34 43180
88.05 68 34 43180
89.05 68 34 43180
90.06 51 25 32385
91.07 67 35 42545
92.07 68 34 43180
93.08 51 25 32385
94.09 69 33 43815
95.10 71 36 45085
96.11 62 32 39370
97.12 51 26 32385
98.12 69 33 43815
99.13 67 34 42545
100.13 68 34 43180
101.14 50 26 31750
102.15 69 33 43815
103.16 67 35 42545
104.17 51 25 32385
105.18 67 34 42545
106.19 69 33 43815
107.19 67 34 42545
108.20 50 26 31750
109.20 70 33 44450
110.21 66 35 41910
111.22 51 25 32385
112.23 68 34 43180
113.23 68 34 43180
114.24 67 34 42545
115.25 51 25 32385
116.26 68 34 43180
117.26 68 34 43180
118.27 51 25 32385
119.27 67 34 42545
120.28 68 34 43180
121.29 68 34 43180
122.29 51 25 32385
123.30 67 34 42545
124.31 68 34 43180
125.31 51 25 32385
126.32 68 34 43180
127.33 67 34 42545
128.33 68 34 43180
129.34 52 25 33020
130.35 67 4 42545
131.35 68 0 43180
132.36 64 0 40640
133.37 54 0 34290
134.37 68 0 43180
135.38 68 0 43180
136.39 50 0 31750
137.39 69 0 43815
138.40 68 0 43180
139.41 50 0 31750
140.42 68 0 43180
141.43 67 0 42545
142.43 68 0 43180
143.44 50 0 31750
144.45 68 0 43180
145.45 69 0 43815
146.46 50 0 31750
147.47 68 0 43180
148.47 67 0 42545
149.48 68 0 43180
150.48 51 0 32385
151.49 67 0 42545
152.49 69 0 43815
153.50 50 0 31750
154.51 68 0 43180
155.52 68 0 43180
156.53 68 0 43180
157.53 51 0 32385
158.54 67 0 42545
159.54 68 0 43180
160.55 67 0 42545
161.56 51 0 32385
162.56 68 0 43180
163.57 68 0 43180
164.58 51 0 32385
165.58 68 0 43180
166.59 68 0 43180
167.60 50 0 31750
168.61 68 0 43180
169.62 69 0 43815
170.63 66 0 41910
171.64 51 0 32385
172.64 68 0 43180
173.65 68 0 43180
174.65 50 0 31750
175.66 69 0 43815
176.67 68 0 43180
177.68 68 0 43180
178.69 50 0 31750
179.69 67 0 42545
180.70 69 0 43815
181.71 67 0 42545
182.71 51 0 32385
183.72 67 0 42545
184.72 68 0 43180
185.73 52 0 33020
186.74 67 0 42545
187.75 68 0 43180
188.76 67 0 42545
189.77 51 0 32385
190.77 68 0 43180
191.78 69 0 43815
192.78 50 0 31750
193.79 68 0 43180
194.80 68 0 43180
195.81 67 0 42545
196.81 52 0 33020
197.82 67 0 42545
198.83 67 0 42545
199.84 38 0 24130
